,TTDDRUGID,LNM,Indication,ICD9,ICD10
6035,DIB003831,a-68552,Obesity,278,E66
6036,DIB003832,men-11149,Asthma,493,J45
6037,DIB003833,wsb-290,Autoimmune diseases,279,"D84.9, M35.9"
6038,DIB003834,otk18 tf mabs,Viral encephalitis,.,A86
6039,DIB003838,api-003,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
6040,DIB003839,da-3031,Neutropenia,288,D70
6041,DIB003840,cepacidine a,Fungal infection,110-118,B35-B49
6042,DIB003843,dup-532,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
6043,DIB003844,131i-clr-1404,Cancer,140-229,C00-C96
6044,DIB003845,g1t28-1,Cancer,140-229,C00-C96
6045,DIB003847,pup-1,Chronic obstructive pulmonary disease,"490-492, 494-496","J40-J44, J47"
6046,DIB003849,prosaptide tx14(a),Neuropathic pain,"356.0, 356.8","G64, G90.0"
6047,DIB003850,apc-300,Prostate tumor,185,C61
6048,DIB003851,antiangiogenic surrobodies,Cancer,140-229,C00-C96
6049,DIB003852,sq-109,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
6050,DIB003853,esterom,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
6051,DIB003854,agt-0031,Neurodegenerative diseases,330-337,G30-G32
6052,DIB003855,cebaracetam,Cognition disorders,295,F20
6053,DIB003856,sc-01,Allergy,995.3,T78.4
6054,DIB003857,b-247,Wound healing,.,T14.0-T14.1
6055,DIB003858,"vaccine, antigen-specific immune cell activation technology, hiv infection",HIV infections,"001-139, 042","A00-B99, B20"
6056,DIB003859,toca 511 + toca fc combination,Glioblastoma,"140-199, 191, 208.9, 210-229","C00-C75, C71, C7A, C7B, C91-C95, D10-D36, D3A"
6057,DIB003862,r-954,Diabetic complication,.,E08-E13
6058,DIB003863,"research programme: map kinase kinase 2 inhibitors, pfizer",Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
6059,DIB003864,"vaccine, parasitic infection",Parasitic infection,.,B89
6060,DIB003865,onc1-13b,Metastatic prostate cancer,"140-229, 185, 208.9","C00-C96, C61, C91-C95"
6061,DIB003866,px-867,Cardiovascular disease,"325, 390-459, 401, 428, 430-459","G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95"
6062,DIB003867,imd-1622,Myocardial infarction,"410, 434.91","I21, I22, I61-I63"
6063,DIB003869,bay-35-3377,Otitis media,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
6064,DIB003870,mb-11055,Fatty liver disease,.,"K70,K76.0"
6065,DIB003871,nn344,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
6066,DIB003873,lazabemide,Cognitive impairment,331.83,G31.84
6067,DIB003874,cardiospheres,Cardiac failure,.,I50
6068,DIB003875,p-13,Otitis media,.,H65-H67
6069,DIB003876,endg-8010,Epilepsy,"290-319, 345","F01-F99, G40"
6070,DIB003877,st-383,Ebola virus infection,"001-139, 042-075, 065.8","A00-B99, A80-A99, A98.4, B00-B34"
6071,DIB003878,inflexal v,Influenza virus infections,"487, 488","J10, J11"
6072,DIB003879,isv-215,Glaucoma,365,H40-H42
6073,DIB003881,dup-860,Fungal infections,110-118,B35-B49
6074,DIB003882,timcodar dimesilate,Cancer,140-229,C00-C96
6075,DIB003885,nmvac4,Meningococcal infections,36.9,A39
6076,DIB003887,radiolabelled-hua33,Colorectal cancer,"153, 154",C18-C21
6077,DIB003888,kd018,Liver cancer,"140-229, 155, 203.0","C00-C96, C22.0, C90.0"
6078,DIB003889,(99m)-tc-cpi,Diagnosis,331,"G30,I73.9"
6079,DIB003890,arx-212,Neurological disease,"338, 338.2, 410, 782.3,780","I21, I22, R52, R52.1-R52.2, R60.9, G89"
6080,DIB003891,nt-001,Neuropathic pain,"356.0, 356.8","G64, G90.0"
6081,DIB003892,tdi-0028,Motor neurone disease,335.2,G12.2
6082,DIB003893,cep-2563,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
6083,DIB003894,ur-12460,Thromboembolism,"437.6, 453, 671.5, 671.9",I80-I82
6084,DIB003895,dm-pit-1,Cancer,140-229,C00-C96
6085,DIB003896,acadesine,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
6086,DIB003897,mv-nis,Head and neck cancer,"140-149, 140-229","C00-C96, C07-C14, C32-C33"
6087,DIB003899,xr-1853,Thrombosis,"437.6, 453, 671.5, 671.9",I80-I82
6088,DIB003900,c-5997,Rheumatold arthritis,714,M05-M06
6089,DIB003903,a-75925,Viral infections,"054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053","B01, B02, A60, B00, B27, G05.1, P35.2"
6090,DIB003905,human recombinant factor viii,Factor VIII deficiency,.,D66
6091,DIB003906,em-2487,HIV infections,"001-139, 042","A00-B99, B20"
6092,DIB003908,qr-333,Diabetic neuropathy,"250, 250.6, 356.0, 356.8","E08-E13, E10.4, E11.4, E13.4, G64, G90.0"
6093,DIB003909,cg-1255,Acute myeloid leukemia,"205.0, 238.7","C92.0, D46"
6094,DIB003910,mg-1109,Influenza virus infections,"487, 488","J10, J11"
6095,DIB003911,arylpropenamides,Hepatitis B virus infection,070.2-070.3,"B16, B18.0, B18.1"
6096,DIB003912,ap-1030,Metabolic disorders,270-279,E70-E89
6097,DIB003913,vm-501,Thrombocytopenia,"287.3, 287.4, 287.5","D69.6, P61.0"
6098,DIB003914,cdp-1050,Heart failure,"410, 428","I21, I22, I50"
6099,DIB003915,tt-310,Cancer,140-229,C00-C96
6100,DIB003916,hookworm vaccine,Infectious and parasitic disease,.,A00-B99
6101,DIB003917,atx-ms2,Multiple sclerosis,340,G35
6102,DIB003920,ag-014,Celiac disease,579,K90.0
6103,DIB003922,ald-601,Lysosomal storage disease,.,E75-E77
6104,DIB003923,ap-501,Autoimmune diseases,279,"D84.9, M35.9"
6105,DIB003924,abafungin,Fungal infection,110-118,B35-B49
6106,DIB003926,val-101,Cancer,140-229,C00-C96
6107,DIB003927,dust mite peptide allergy desensitization,Allergy,995.3,T78.4
6108,DIB003929,bioo-1,Cancer,140-229,C00-C96
6109,DIB003930,ssr-182289,Myocardial infarction,"410, 434.91","I21, I22, I61-I63"
6110,DIB003931,histidase-peg-20,Cancer,140-229,C00-C96
6111,DIB003932,np93-31,Brain injury,.,S09.90
6112,DIB003933,cpi-005,Cardiac failure,.,I50
6113,DIB003934,pb-6,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
6114,DIB003937,sng-8033,Leukemia,208.9,C91-C95
6115,DIB003940,levodropropizine,Cough,786.2,R05
6116,DIB003941,"vaccine, hsv-2 infection",Herpes simplex virus infection,54,B00
6117,DIB003942,gi-197111,Alopecia,704.09,L65.9
6118,DIB003943,cta-192,Hyperparathyroidism,"252.02, 588.81",E21.1
6119,DIB003944,bn-df-037,Osteoporosis,"733.0, V07.4","M80-M81, Z79.890"
6120,DIB003945,hm-5016504,Cancer,140-229,C00-C96
6121,DIB003946,sb-559457,Acute myeloid leukemia,"205.0, 238.7","C92.0, D46"
6122,DIB003950,hp-802-247,Duchenne dystrophy,.,G71.0
6123,DIB003951,antiviral agents,Viral infections,"054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053","B01, B02, A60, B00, B27, G05.1, P35.2"
6124,DIB003953,triab/trigem,Lung cancer,162,C33-C34
6125,DIB003954,xylose,Gastrointestinal disease,.,K00-K93
6126,DIB003955,multi-epitope tyrosinase/gp100 vaccine,Melanoma,172.9,C43
6127,DIB003957,sar342434,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
6128,DIB003958,bu-4514n,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
6129,DIB003959,ho-4073,Cancer,140-229,C00-C96
6130,DIB003960,tumor-associated macrophage immunotherapy,Cancer,140-229,C00-C96
6131,DIB003961,als-769,Cancer,140-229,C00-C96
6132,DIB003964,qbx258,Asthma,493,J45
6133,DIB003965,corticotropin,Cushing's disease,255,E24.0
6134,DIB003966,zifrosilone,Cognitive impairment,331.83,G31.84
6135,DIB003967,qrx-401,Hypercholesterolemia,272,E78.0
6136,DIB003968,altu-236,Genetic disorder,.,Q00-Q99
6137,DIB003970,filorexant,Diabetic neuropathy,"250, 250.6, 356.0, 356.8","E08-E13, E10.4, E11.4, E13.4, G64, G90.0"
6138,DIB003971,tdi-0015,Motor neurone disease,335.2,G12.2
6139,DIB003972,beifutai,Central nervous system disease,.,G00-G99
6140,DIB003973,rg7935,Parkinson's disease,332,"F02.3, G20"
6141,DIB003974,brt-fc-83c,Atopic dermatitis,"691.8, 692.9","L20, L20-L30"
6142,DIB003975,candistat-g,Candida albicans infection,.,B37.0
6143,DIB003976,als-aav9,Motor neurone disease,335.2,G12.2
6144,DIB003978,amp-110,Autoimmune diseases,279,"D84.9, M35.9"
6145,DIB003980,srg,Neutropenia,288,D70
6146,DIB003983,pf-06282999,Acute coronary syndrome,"411.1, 434.91, 437.6, 453, 671.5, 671.9","I20.0, I61-I63, I80-I82"
6147,DIB003985,sr-2640,Asthma,493,J45
6148,DIB003986,pf-4603629,Diabetes mellitus type 2,250,E11
6149,DIB003989,sq-33351,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
6150,DIB003990,s-16020-2,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
6151,DIB003992,ca-50040,Colorectal cancer,"153, 154",C18-C21
6152,DIB003993,rg-1662,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
6153,DIB003995,eremomycin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
6154,DIB003996,rpi-78m injectable,Multiple sclerosis,"001-139, 042","A00-B99, B20"
6155,DIB003998,sss-08,Uterine cervix cancer,.,C53
6156,DIB003999,ly-377604,Obesity,278,E66
6157,DIB004000,be-16627b,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
6158,DIB004001,gata-3-specific dnazyme,Asthma,493,J45
6159,DIB004002,aom-0871,Transplant rejection,"279.5, 996","D89.8, T86"
6160,DIB004003,pur-0110,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
6161,DIB004004,apn-601,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
6162,DIB004006,bms-a,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
6163,DIB004007,hmaxi-k,Overactive bladder disorder,"188, 596.51","C67, N32.81"
6164,DIB004008,debio-0826,Cancer,140-229,C00-C96
6165,DIB004009,recombinant rgd-hirudin,Thrombosis,"437.6, 453, 671.5, 671.9",I80-I82
6166,DIB004010,rimiterol,Asthma,493,J45
6167,DIB004011,tdi-0115,Motor neurone disease,335.2,G12.2
6168,DIB004012,textilinin,Bleeding,"444, 453","I74, I80-I82"
6169,DIB004013,cwf-0902,Migraine,346,G43
6170,DIB004014,up-275-22,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
6171,DIB004015,zinc acetate vaginal gel,HIV infections,"001-139, 042","A00-B99, B20"
6172,DIB004016,managlinat dialanetil,Diabetes mellitus type 2,250,E11
6173,DIB004017,a-74187,Peripheral vascular disease,443.9,I73.9
6174,DIB004018,relenza iv,Erectile dysfunction,"302.72, 607.84","F52.2, N48.4"
6175,DIB004022,gdc-0834,Rheumatold arthritis,714,M05-M06
6176,DIB004023,mb-11316,Injury,.,S00-T88
6177,DIB004024,evp-1001-1,Heart disease,390-429,I00-I52
6178,DIB004025,cureskin,Scar tissue,.,L00-L99
6179,DIB004027,epi-001,Prostate tumor,185,C61
6180,DIB004030,orochol,Vibrio cholerae infection,.,A00.0
6181,DIB004031,aa-29504,Major depressive disorder,"296.2, 296.3, 710.0","F32, F33, M32"
6182,DIB004032,wbi-2000,Cancer,140-229,C00-C96
6183,DIB004033,alo-02 oxycodone- naltrexone core,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
6184,DIB004034,pmx-30024,Mycobacterium tuberculosis infection,.,A15-A19
6185,DIB004035,pro-044,Duchenne muscular dystrophy,359.1,G71.0
6186,DIB004037,osteocel,Injury,.,S00-T88
6187,DIB004038,mbx-500,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
6188,DIB004040,ht-61,Staphylococcus aureus infection,001-139,A00-B99
6189,DIB004042,bs-194,Cancer,140-229,C00-C96
6190,DIB004044,elnd-002,Autoimmune diseases,279,"D84.9, M35.9"
6191,DIB004045,xb-387,Non-small-cell lung cancer,"162, 183","C33, C34, C56"
6192,DIB004047,vli-04a,Bacillus anthracis infection,.,A22
6193,DIB004048,rq-00000008,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
6194,DIB004049,retinostat,Macular degeneration,362.5,H35.3
6195,DIB004051,panaecin,Lung infection,162,C33-C34
6196,DIB004053,oligotide,Renal disease,.,N00-N29
6197,DIB004054,tg-44,Helicobacter pylori infection,41.86,B96.81
6198,DIB004056,pf-956980,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
6199,DIB004057,rotarix,Rotavirus infections,001-139,A00-B99
6200,DIB004058,rg-4929,Metabolic disorders,270-279,E70-E89
6201,DIB004059,hl-162,Hyperlipidemia,272.0-272.4,E78
6202,DIB004061,ici-d-1542,Cardiovascular disease,"325, 390-459, 401, 428, 430-459","G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95"
6203,DIB004062,cytoporins,Bacterial respiratory tract infection,.,"J13,J15"
6204,DIB004063,synthetic peptide,Cancer,140-229,C00-C96
6205,DIB004064,monoxanes,Plasmodium infection,.,B54
6206,DIB004065,plant-derived antibacterials,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
6207,DIB004066,mv-9411,Keratosis,.,L57.0
6208,DIB004068,debio-1142,Cancer,140-229,C00-C96
6209,DIB004069,adv-1002401,Diabetes mellitus type 2,250,E11
6210,DIB004070,aa-10044,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
6211,DIB004071,tt-115,Blood clotting disorder,286,D65-D69
6212,DIB004073,lurosetron,Emesis,787,R11
6213,DIB004074,"tpo therapy program, thrombocytopenia",Thrombocytopenia,"287.3, 287.4, 287.5","D69.6, P61.0"
6214,DIB004075,edetate disodium,Heart arrhythmia,.,I47-I49
6215,DIB004077,h1n1 influenza vaccine,Influenza virus infections,"487, 488","J10, J11"
6216,DIB004078,irofulven/taxotere,Cancer,140-229,C00-C96
6217,DIB004079,cal-103-r,Herpes simplex virus infection,54,B00
6218,DIB004080,albinterferon alfa-2b,Hepatitis C virus infection,"070.4, 070.5, 070.70, 573.3","B17.1, B18.2, K75.9"
6219,DIB004082,hl-021,Cancer,140-229,C00-C96
6220,DIB004084,sapc-dops,Cancer,140-229,C00-C96
6221,DIB004085,aviptadil,Acute lung injury,518,J80
6222,DIB004087,fce-20696,Mycobacterium tuberculosis infection,.,A15-A19
6223,DIB004088,skf-105685,Autoimmune diseases,279,"D84.9, M35.9"
6224,DIB004090,rdea-684,Gout,274.00274.1274.8274.9,M10
6225,DIB004091,ldn-22684,Parkinson's disease,332,"F02.3, G20"
6226,DIB004095,ml-436,Cancer,140-229,C00-C96
6227,DIB004096,rg-14893,Asthma,493,J45
6228,DIB004097,mgn-1703,Colorectal cancer,"153, 154",C18-C21
6229,DIB004098,her2-targeted autologous t-cell therapy,Glioblastoma,"140-199, 191, 208.9, 210-229","C00-C75, C71, C7A, C7B, C91-C95, D10-D36, D3A"
6230,DIB004099,ether lipid,Cancer,140-229,C00-C96
6231,DIB004100,nbi-29,Prostate tumor,185,C61
6232,DIB004101,vvz-140,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
6233,DIB004102,g009,Immuno-stimulant,.,C00-C97
6234,DIB004103,ac-262271,Glaucoma,365,H40-H42
6235,DIB004104,influenza a virus h7n9 vaccine,Influenza A virus infections,"487, 488","J10, J11"
6236,DIB004108,ccx-662,Cancer,140-229,C00-C96
6237,DIB004109,n-0861,Cardiac disease,.,I00-I99
6238,DIB004110,ilodecakin,Scar tissue,.,L00-L99
6239,DIB004111,153sm-edtmp,Bone metastases,198.5,C79.51
6240,DIB004113,fandofloxacin hydrochloride,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
6241,DIB004115,amphotericin b inhalation powder,Fungal infection,110-118,B35-B49
6242,DIB004119,fg-3622,Fungal infection,110-118,B35-B49
6243,DIB004120,ampiroxicam,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
6244,DIB004121,an-3661,Plasmodium falciparum infection,.,B54
6245,DIB004122,prt-20,Duchenne dystrophy,.,G71.0
6246,DIB004123,og-19,Dementia,"290-294, 331.0","F01-F07, G30"
6247,DIB004125,suriclone,Anxiety disorder,"300, 311","F32, F40-F42"
6248,DIB004130,hri kinase inhibitors,Anemia,280-285,D50-D64
6249,DIB004131,ncx 950,Asthma,493,J45
6250,DIB004132,potassium iodide,Thyrotoxicosis,.,E05.90
6251,DIB004133,weight regulating human endocrine peptide,Obesity,278,E66
6252,DIB004135,bzf961,Hepatitis C virus infection,"070.4, 070.5, 070.70, 573.3","B17.1, B18.2, K75.9"
6253,DIB004137,leo-90110,Psoriasis,696,L40
6254,DIB004138,ec-0565,Cancer,140-229,C00-C96
6255,DIB004139,sharon-1000,Mycobacterium tuberculosis infection,.,A15-A19
6256,DIB004140,pcnu,Brain cancer,"191, 225.0","C71, D33"
6257,DIB004141,2-deoxyglucose,Cancer,140-229,C00-C96
6258,DIB004142,ag-013958,Age related macular degeneration,.,H35.30
6259,DIB004143,va-diftet,Clostridium tetani infection,001-139,A00-B99
6260,DIB004144,mcd-386,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
6261,DIB004145,modified bcg vaccine,Mycobacterium tuberculosis infection,.,A15-A19
6262,DIB004146,csl-112,Atherosclerosis,"414.0, 440",I70
6263,DIB004147,brevarex,Pancreatic cancer,"203.0, 208.9","C90.0, C91-C95"
6264,DIB004148,gr-dd1,Liver cancer,"140-229, 155, 203.0","C00-C96, C22.0, C90.0"
6265,DIB004149,cgp-48369,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
6266,DIB004150,acellular pertussis vaccine,Allergy,995.3,T78.4
6267,DIB004151,azd-8165,Thrombosis,"437.6, 453, 671.5, 671.9",I80-I82
6268,DIB004152,lipoteichoic acid,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
6269,DIB004153,58-1066,Cancer,140-229,C00-C96
6270,DIB004154,nt-fv-007,Motor neurone disease,335.2,G12.2
6271,DIB004156,sutilains,Skin burns,940-949,T20-T31
6272,DIB004157,abt-116,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
6273,DIB004159,enadoline,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
6274,DIB004161,jb991,Skin infections,680-709,L00-L99
6275,DIB004163,gs-4997,Diabetic nephropathy,"250, 250.4, 580-599","E08-E13, E10.2, E11.2, E13.2, N00-N29"
6276,DIB004164,medi8897,Respiratory syncytial virus ,"001-139, 079.6","A00-B99, B97.4"
6277,DIB004165,avl-3288,Cognition disorders,295,F20
6278,DIB004168,kc-11458,Gastric motility disorder,.,K22.4
6279,DIB004170,dcb-wh1,Diabetic foot ulcer,707,L88-L89
6280,DIB004172,adc-5510,Movement disorder,.,R25
6281,DIB004173,sr-43845,Glaucoma,365,H40-H42
6282,DIB004174,ox-914,Asthma,493,J45
6283,DIB004175,nebracetam,Parkinson's disease,332,"F02.3, G20"
6284,DIB004176,spi-5557,Deafness,.,H90-H91
6285,DIB004177,bms-180560,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
6286,DIB004178,hg-1097,Cancer,140-229,C00-C96
6287,DIB004179,dcvax-liver,Liver cancer,"140-229, 155, 203.0","C00-C96, C22.0, C90.0"
6288,DIB004180,psi-879,Hepatitis C virus infection,"070.4, 070.5, 070.70, 573.3","B17.1, B18.2, K75.9"
6289,DIB004181,asp-0265,Endometriosis,617,N80
6290,DIB004182,thermoprofen,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
6291,DIB004184,jcar017,Leukaemia,204,C91.0
6292,DIB004185,laevo-bambuterol,Asthma,493,J45
6293,DIB004186,prx-12205,Neurological disease,"338, 338.2, 410, 782.3,780","I21, I22, R52, R52.1-R52.2, R60.9, G89"
6294,DIB004187,edp-420,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
6295,DIB004188,l-670596,Asthma,493,J45
6296,DIB004189,pc-1005,HIV infections,"001-139, 042","A00-B99, B20"
6297,DIB004190,bms-816336,Lipid metabolism disorder,.,E75-E78
6298,DIB004191,mglur2 pams,Central nervous system disease,.,G00-G99
6299,DIB004192,pt2.0,Clostridium difficile infection,"001-139, 008.45","A00-B99, A04.7"
6300,DIB004193,fluzone qiv id,Ovarian cancer,"140-229, 183, 185","C00-C96, C56, C61"
6301,DIB004195,som-0633,Fungal infection,110-118,B35-B49
6302,DIB004196,neorphine,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
6303,DIB004198,crd-5,Hyperlipidemia,272.0-272.4,E78
6304,DIB004199,gcan 101,Melanoma,172.9,C43
6305,DIB004200,interferon alpha,Hepatitis C virus infection,"070.4, 070.5, 070.70, 573.3","B17.1, B18.2, K75.9"
6306,DIB004201,eti-204,Anthrax,22,A22
6307,DIB004202,rp-3035,Non-small-cell lung cancer,"162, 183","C33, C34, C56"
6308,DIB004204,et-009,Bladder cancer,"140-229, 188","C00-C96, C67"
6309,DIB004205,repirinast,Asthma,493,J45
6310,DIB004206,nsl-101,Oral facial pain,"338,780","R52, G89"
6311,DIB004207,cnt0-5825,Allergic asthma,"493, 995.3","J45, T78.4"
6312,DIB004208,sar-407899,Diabetic nephropathy,"250, 250.4, 580-599","E08-E13, E10.2, E11.2, E13.2, N00-N29"
6313,DIB004209,opc-28326,Peripheral vascular disease,443.9,I73.9
6314,DIB004210,obe-102,Weight loss,.,R63.4
6315,DIB004211,avi-4557,Anxiety disorder,"300, 311","F32, F40-F42"
6316,DIB004212,sar-113945,Osteoarthritis,715,"M15-M19, M47"
6317,DIB004213,ppi-1301,Hepatitis C virus infection,"070.4, 070.5, 070.70, 573.3","B17.1, B18.2, K75.9"
6318,DIB004214,edi1200,Ectodermal dysplasia,.,Q82.4
6319,DIB004215,cgen-25068,Immune disorder,.,D80-D89
6320,DIB004216,tolecine,Herpesvirus infection,.,B00
6321,DIB004218,nanoemulsion nsaid,Osteoarthritis,715,"M15-M19, M47"
6322,DIB004219,fht-1106,Ischemic heart diseases,410-414,I20-I25
6323,DIB004220,r-tpr-013,Female infertility,628,N97.0
6324,DIB004222,sal-200,Staphylococcus aureus infection,001-139,A00-B99
6325,DIB004224,immlg-5521,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
6326,DIB004225,bpi-713001,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
6327,DIB004227,synthetic hypericin,Viral infections,"054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053","B01, B02, A60, B00, B27, G05.1, P35.2"
6328,DIB004229,spx-601,Arthritis,710-719,M00-M25
6329,DIB004230,topixantrone hydrochloride,Gastric cancer,"140-229, 151, 188","C00-C96, C16, C67"
6330,DIB004231,dtwp-hbv vaccine,Hepatitis B virus infection,070.2-070.3,"B16, B18.0, B18.1"
6331,DIB004232,bms-707035,HIV infections,"001-139, 042","A00-B99, B20"
6332,DIB004235,neo-1507,Osteoarthritis,715,"M15-M19, M47"
6333,DIB004236,hp-161,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
6334,DIB004237,ps-873266,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
6335,DIB004238,rxi-109,Fibrosis,709.2,L90.5
6336,DIB004239,recombinant tsh superagonists,Thyroid cancer,"140-229, 193","C00-C96, C73"
6337,DIB004240,jr-101,Gaucher disease,272.7,E75.2
6338,DIB004241,ct-340,Arthritis,710-719,M00-M25
6339,DIB004242,8-chloro-adenosine,Cancer,140-229,C00-C96
6340,DIB004244,ioflubenzamide (131i),Melanoma,172.9,C43
6341,DIB004245,adenovirus/semliki forest virus hybrid vector delivered il-12 immunotherapy,Hepatitis B virus infection,070.2-070.3,"B16, B18.0, B18.1"
6342,DIB004246,lantibiotic-based proteins,Influenza virus infections,"487, 488","J10, J11"
6343,DIB004249,gsk-114814,Alcohol use disorders,303,F10.2
6344,DIB004250,selegiline,Major depressive disorder,"296.2, 296.3, 710.0","F32, F33, M32"
6345,DIB004251,pretarget technology,Cancer,140-229,C00-C96
6346,DIB004252,a-887755,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
6347,DIB004254,eg-hpv,Papillomavirus infections,.,B97.7
6348,DIB004256,isis-sod1rx,Motor neurone disease,335.2,G12.2
6349,DIB004257,ec-154,Cancer,140-229,C00-C96
6350,DIB004258,fentiazac,Dysmenorrhea,625.3,N94.4-N94.6
6351,DIB004259,ct-3501,Coronary artery disease,"410-414, 429.2",I20-I25
6352,DIB004261,18f-av-1451,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
6353,DIB004263,pha-793887,Cancer,140-229,C00-C96
6354,DIB004264,hepatitis c immune globulin,Hepatitis C virus infection,"070.4, 070.5, 070.70, 573.3","B17.1, B18.2, K75.9"
6355,DIB004265,cat-spire,Cancer,140-229,C00-C96
6356,DIB004267,pb-108,Infectious disease,001-139,A00-B99
6357,DIB004268,mdx-1411,Cancer,140-229,C00-C96
6358,DIB004269,cat-1904,Non-insulin dependent diabetes,.,E11.9
6359,DIB004271,edp-23,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
6360,DIB004272,dpv-001,Non-small-cell lung carcinoma,"162, 208.9","C33, C34, C91-C95"
6361,DIB004273,dezinamide,Epileptic seizure,.,"G40,R56"
6362,DIB004275,kdt-600,Obesity,278,E66
6363,DIB004276,e-4021,Cardiovascular disease,"325, 390-459, 401, 428, 430-459","G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95"
6364,DIB004277,mdt-012,Autoimmune diseases,279,"D84.9, M35.9"
6365,DIB004278,cyt-004-melqbg10,Melanoma,172.9,C43
6366,DIB004279,ad2/hif-1alpha/vp16,Peripheral vascular disease,443.9,I73.9
