,Brand Name,Generic Name,Claim Count,Total Spending,Beneficiary Count,Total Annual Spending Per User,Unit Count,Average Cost Per Unit (Weighted),Beneficiary Count No LIS,Average Beneficiary Cost Share No LIS,Beneficiary Count LIS,Average Beneficiary Cost Share LIS,Year,Matched Drug Name,Indication
1411,estrasorb,estradiol,691.0,47950.41,227.0,211.23528634,80541.36,0.5953513822,180.0,158.32266667,47.0,12.41212766,2011,estradiol,Breast cancer
1412,estring,estradiol,51382.0,9680736.81,20610.0,469.71066521,51496.64,187.98773687,16980.0,260.34238928,3630.0,11.956355372,2011,estradiol,Breast cancer
1413,estrogel,estradiol,13.0,910.25,,,829.0,1.0980096502,,,,,2011,estradiol,Breast cancer
1414,estropipate,estropipate,157455.0,1960202.49,30705.0,63.839846605,7728140.891,0.2556650608,24551.0,35.104297992,6154.0,10.0069922,2011,estropipate,Hypogonadism
1415,estrostep fe,norethindrone-e.estradiol-iron,238.0,23076.95,32.0,721.1546875,7898.0,2.921872626,,,,,2011,estradiol,Breast cancer
1416,eszopiclone,eszopiclone,,,,,,,,,,,2011,eszopiclone,Insomnia
1417,ethambutol hcl,ethambutol hcl,40053.0,3762775.38,9181.0,409.84374033,2880385.231,1.313478405,5516.0,118.30950508,3665.0,6.8661718963,2011,ethambutol,Tuberculosis
1418,ethedent,sodium fluoride,160.0,1443.76,73.0,19.777534247,8839.0,0.1653964391,13.0,7.98,60.0,2.6996666667,2011,sodium fluoride,Osteoporosis
1419,ethosuximide,ethosuximide,12770.0,1396595.45,1496.0,933.55310829,1929974.5,0.9211638049,297.0,183.14858586,1199.0,11.33324437,2011,ethosuximide,Epilepsy
1420,eth-oxydose,oxycodone hcl,16.0,831.45,13.0,63.957692308,920.0,0.90375,,,,,2011,oxycodone,Pain
1421,etidronate disodium,etidronate disodium,3653.0,485942.96,1268.0,383.23577287,107041.0,4.9241045263,914.0,80.403347921,354.0,5.5588135593,2011,etidronate,Hypercalcemia
1422,etodolac,etodolac,527087.0,13025521.18,178196.0,73.096596893,37630517.5,0.3455708404,108604.0,23.121882619,69592.0,4.8957839982,2011,etodolac,Pain
1423,etodolac er,etodolac,93599.0,5635202.56,32531.0,173.22561741,5160618.0,1.1153691207,23344.0,32.036442769,9187.0,6.3453553935,2011,etodolac,Pain
1424,etopophos,etoposide phosphate,,,,,,,,,,,2011,etoposide,Cancers
1425,etoposide,etoposide,316.0,65699.2,126.0,521.42222222,9424.0,7.9857575154,57.0,180.92842105,69.0,2.781884058,2011,etoposide,Cancers
1426,eurax,crotamiton,11296.0,1454682.39,6283.0,231.52672131,1485782.14,1.0270678226,2810.0,68.804060498,3473.0,6.2615865246,2011,crotamiton,Pruritus
1427,evamist,estradiol,4887.0,444607.85,1683.0,264.17578728,47112.6,9.4371325293,1201.0,137.53785179,482.0,14.298174274,2011,estradiol,Breast cancer
1428,evekeo,amphetamine sulfate,,,,,,,,,,,2011,amphetamine,Attention deficit hyperactivity disorder
1429,evista,raloxifene hcl,1788216.0,343327114.61,307257.0,1117.3939556,80931264.002,4.2422062579,224987.0,310.23291079,82270.0,31.786508812,2011,raloxifene,Osteoporosis
1430,evoclin,clindamycin phosphate,246.0,64413.75,154.0,418.2711039,22250.0,2.895,82.0,96.66,72.0,4.6418055556,2011,clindamycin,Bacterial infection
1431,evotaz,atazanavir sulfate/cobicistat,,,,,,,,,,,2011,atazanavir,HIV infections
1432,evoxac,cevimeline hcl,53305.0,14424067.51,12280.0,1174.5983314,5694784.111,2.5328558956,8101.0,316.74275892,4179.0,22.514673367,2011,cevimeline,Sjogren's syndrome
1433,evzio,naloxone hcl,,,,,,,,,,,2011,naloxone,Narcotic depression
1434,exalgo,hydromorphone hcl,12201.0,8300802.72,4169.0,1991.0776493,566857.0,13.817262558,1217.0,223.22074774,2952.0,11.857198509,2011,hydromorphone,Pain
1435,exall,guaifenesin/carbetapentane cit,15.0,733.03,15.0,48.868666667,3563.0,0.2057339321,,,,,2011,carbetapentane,Cough
1436,exel insulin syringe,"syring w-ndl,disp,insul,0.5 ml",,,,,,,,,,,2011,,
1437,exelderm,sulconazole nitrate,4302.0,383441.35,2922.0,131.22565024,150217.0,2.5668131519,2263.0,72.125903668,659.0,8.2762518968,2011,sulconazole,Fungal infection
1438,exelon,rivastigmine,1247553.0,323647136.66,216141.0,1497.3889112,40168078.531,8.0573788929,104269.0,379.72947022,111872.0,21.180051577,2011,,
1439,exelon,rivastigmine tartrate,28481.0,7570790.63,7969.0,950.03019576,1921608.5,3.9408962344,3448.0,226.96795534,4521.0,13.101066136,2011,,
1440,exemestane,exemestane,59751.0,21083169.77,16711.0,1261.6342391,2385471.0,8.8381580703,11183.0,243.96110078,5528.0,12.49276411,2011,exemestane,Hormonally-responsive breast cancer
1441,exforge,amlodipine/valsartan,726319.0,113279250.21,122471.0,924.94754032,28965954.974,3.9222085169,70779.0,293.69940109,51692.0,31.485661611,2011,amlodipine,Hypertension; Angina
1442,exforge hct,amlodipine/valsartan/hcthiazid,158596.0,24492692.95,30534.0,802.14491878,6128575.0,4.0065722347,16612.0,260.65652239,13922.0,27.008233731,2011,amlodipine,Hypertension; Angina
1443,exjade,deferasirox,18222.0,104877196.14,3117.0,33646.838672,1619708.0,65.381400402,1410.0,3144.0595674,1707.0,64.449958992,2011,,
1444,exoderm,sodium thiosulfate/sal acid,50.0,968.6,50.0,19.372,5861.1,0.1652590811,50.0,,0.0,,2011,sodium thiosulfate,Poison intoxication
1445,extavia,interferon beta-1b,4215.0,10462795.3,644.0,16246.576553,58539.0,178.73204701,183.0,406.16437158,461.0,10.868156182,2011,interferon beta-1b,Multiple sclerosis
1446,extina,ketoconazole,655.0,190411.77,476.0,400.02472689,56600.0,3.3641655477,307.0,92.293713355,169.0,6.3153254438,2011,ketoconazole,Fungal infection
1447,extra-virt plus dha,prenatal #57/iron/fa/dss/dha,,,,,,,,,,,2011,iron,Iron deficiency anaemia
1448,eylea,aflibercept,,,,,,,,,,,2011,aflibercept,Ovarian cancer
1449,fabb,cyanocobalamin/fa/pyridoxine,827.0,21506.22,266.0,80.850451128,49147.0,0.4375896799,238.0,32.382731092,28.0,2.0192857143,2011,cyanocobalamin,Anemia
1450,fabior,tazarotene,,,,,,,,,,,2011,tazarotene,Psoriasis
1451,fabrazyme,agalsidase beta,248.0,2077418.42,24.0,86559.100833,978.0,2708.3877088,,,,,2011,agalsidase beta,Fabry disease
1452,factive,gemifloxacin mesylate,5134.0,1157482.04,4384.0,264.02418796,30742.5,37.650875498,2937.0,89.870769493,1447.0,7.5748583276,2011,gemifloxacin,Bacterial infection
1453,fac-x,multivit-min12/fa/lycopene/lut,55.0,2349.34,21.0,111.87333333,2383.0,0.9858749475,,,,,2011,,
1454,falmina,levonorgestrel-ethin estradiol,,,,,,,,,,,2011,estradiol,Breast cancer
1455,famciclovir,famciclovir,129174.0,23902343.6,74914.0,319.06377446,4156271.0,6.1961330979,50612.0,45.57409231,24302.0,4.2025446465,2011,famciclovir,Viral infections
1456,famotidine,famotidine,3513892.0,42807968.75,788044.0,54.321800242,198967122.2,0.2089003172,356841.0,24.738288089,431203.0,4.5409343859,2011,famotidine,Peptic ulcer disease
1457,famotidine,"famotidine in nacl,iso-osm/pf",155.0,2980.08,74.0,40.271351351,31108.0,0.0957978655,25.0,14.3864,49.0,0.3132653061,2011,famotidine,Peptic ulcer disease
1458,famotidine,famotidine/pf,2287.0,16766.92,704.0,23.816647727,27974.0,0.5993751341,314.0,11.816942675,390.0,1.8122820513,2011,famotidine,Peptic ulcer disease
1459,famvir,famciclovir,660.0,373385.08,289.0,1291.9898962,36972.0,10.452733548,135.0,205.68488889,154.0,8.0265584416,2011,famciclovir,Viral infections
1460,fanapt,iloperidone,45295.0,24155310.06,8209.0,2942.5399025,2400298.0,10.067445794,562.0,346.70756228,7647.0,16.054498496,2011,iloperidone,Schizophrenia
1461,fareston,toremifene citrate,1638.0,1391849.1,367.0,3792.5043597,60114.0,23.153493363,213.0,599.05262911,154.0,35.659090909,2011,toremifene,Breast cancer
1462,farxiga,dapagliflozin propanediol,,,,,,,,,,,2011,dapagliflozin,Type 2 diabetes
1463,farydak,panobinostat lactate,,,,,,,,,,,2011,panobinostat,Primary myelofibrosis; Post-polycythemia vera; Post-essential thrombocytopenia; Cutaneous T cell-lymphomas
1464,faslodex,fulvestrant,1999.0,3299321.23,403.0,8186.9013151,19136.0,172.41436194,135.0,922.53303704,268.0,30.596716418,2011,fulvestrant,Breast cancer
1465,fazaclo,clozapine,94224.0,34032292.07,5375.0,6331.5892223,5951316.773,5.8184103915,143.0,883.20888112,5232.0,32.868107798,2011,clozapine,Schizophrenia
1466,fe c plus,"iron,carbonyl/vit c/vit b12/fa",6234.0,85537.62,1674.0,51.097741935,265641.0,0.3220045851,840.0,27.127892857,834.0,6.5779616307,2011,iron,Iron deficiency anaemia
1467,felbamate,felbamate,2021.0,1513551.05,865.0,1749.77,322757.5,4.7124392752,75.0,209.836,790.0,0.7036202532,2011,felbamate,Epilepsy
1468,felbatol,felbamate,24017.0,21816860.66,2528.0,8630.0872864,4585089.53,5.2273589282,277.0,1160.9327437,2251.0,29.337094625,2011,felbamate,Epilepsy
1469,feldene,piroxicam,349.0,70944.35,125.0,567.5548,15620.0,4.5458596996,75.0,215.19573333,50.0,8.0862,2011,piroxicam,Pain
1470,felodipine er,felodipine,1182761.0,72464917.93,190382.0,380.62904019,58312345.122,1.2537247917,132361.0,89.720800916,58021.0,13.480698023,2011,felodipine,Hypertension
1471,fem ph,acetic acid/oxyquinoline,155.0,2700.95,99.0,27.282323232,8100.0,0.3334506173,83.0,10.702168675,16.0,3.816875,2011,,
1472,femara,letrozole,191000.0,122823565.93,52915.0,2321.1483687,7261771.6,16.913719227,32179.0,339.64815097,20736.0,30.859600212,2011,letrozole,Hormonally-responsive breast cancer
1473,femcon fe,noreth-ethinyl estradiol/iron,631.0,57276.65,163.0,351.3904908,22343.0,2.5635165376,18.0,203.91722222,145.0,12.173793103,2011,estradiol,Breast cancer
1474,femhrt,norethindrone ac-eth estradiol,20378.0,1891358.72,5668.0,333.69067043,823196.5,2.2979774525,4215.0,243.87948992,1453.0,19.124693737,2011,estradiol,Breast cancer
1475,femring,estradiol acetate,6398.0,1156040.85,2356.0,490.67947793,6414.0,180.23414391,1875.0,361.25557867,481.0,17.328045738,2011,estradiol,Breast cancer
1476,femtrace,estradiol acetate,1091.0,97882.45,250.0,391.5298,49893.0,1.9749683708,178.0,274.64162921,72.0,19.340277778,2011,estradiol,Breast cancer
1477,fenofibrate,fenofibrate,1662355.0,125204782.85,323038.0,387.58530838,75612013.382,1.6676121789,218657.0,89.59352511,104381.0,9.9102052098,2011,fenofibrate,High cholesterol levels; High triglyceride levels
1478,fenofibrate,fenofibrate nanocrystallized,,,,,,,,,,,2011,fenofibrate,High cholesterol levels; High triglyceride levels
1479,fenofibrate,"fenofibrate,micronized",873115.0,59692781.93,159101.0,375.18797449,37432246.512,1.5990565597,97712.0,90.038173612,61389.0,8.0492440014,2011,fenofibrate,High cholesterol levels; High triglyceride levels
1480,fenofibric acid,fenofibric acid,4948.0,442331.97,1342.0,329.60653502,209665.0,2.0973763198,879.0,70.53887372,463.0,8.1287688985,2011,,
1481,fenofibric acid,fenofibric acid (choline),,,,,,,,,,,2011,,
1482,fenoglide,fenofibrate,925.0,159881.02,407.0,392.82805897,33535.0,4.8089037349,238.0,118.24966387,169.0,10.877751479,2011,fenofibrate,High cholesterol levels; High triglyceride levels
1483,fenoprofen calcium,fenoprofen calcium,6136.0,530924.46,1539.0,344.98015595,528697.0,1.0042131126,890.0,52.471561798,649.0,8.1574730354,2011,fenoprofen,Rheumatold arthritis
1484,fentanyl,fentanyl,2787092.0,446659583.07,433120.0,1031.2605815,27635558.903,15.407647566,184514.0,217.81002542,248606.0,13.214278256,2011,oravescent fentanyl,Neuropathic pain
1485,fentanyl citrate,fentanyl citrate,14265.0,31379262.36,2086.0,15042.79116,1363142.0,21.672452086,869.0,885.58285386,1217.0,30.859506984,2011,,
1486,fentanyl citrate,fentanyl citrate/pf,1339.0,11186.81,1093.0,10.234958829,57413.01,0.4878263539,964.0,2.5776037344,129.0,1.5733333333,2011,,
1487,fentora,fentanyl citrate,4463.0,21911411.95,756.0,28983.34914,485048.0,41.607505863,256.0,1171.8511328,500.0,28.17418,2011,,
1488,ferocon,fe fumarate/vit c/b12-if/fa,361.0,7602.79,107.0,71.05411215,21481.0,0.3539309157,,,,,2011,,
1489,ferotrin,fe fumarate/vit c/b12-if/fa,60.0,2494.03,32.0,77.9384375,4596.0,0.5426523064,32.0,,0.0,,2011,,
1490,ferotrinsic,fe fumarate/vit c/b12-if/fa,27.0,150.78,11.0,13.707272727,917.0,0.1644274809,,,,,2011,,
1491,ferralet 90,"iron carb,gl/fa/b12/c/docusate",42.0,1775.59,15.0,118.37266667,1920.0,0.9247864583,,,,,2011,iron,Iron deficiency anaemia
1492,ferraplus 90,iron/fa/b12/c/docusate sodium,23.0,972.96,,,1650.0,0.5896727273,,,,,2011,iron,Iron deficiency anaemia
1493,ferrex 150 forte,iron ps cmplx/vit b12/fa,964.0,13616.43,291.0,46.79185567,63188.0,0.2154907577,265.0,22.792113208,26.0,25.580384615,2011,iron,Iron deficiency anaemia
1494,ferrex 150 forte plus,iron aspgly&ps/c/b12/fa/ca/suc,1515.0,92082.43,426.0,216.15593897,87645.0,1.0506295853,410.0,49.218195122,16.0,23.230625,2011,iron,Iron deficiency anaemia
1495,ferrex 28,iron ag&fum/c/fa/mv cmb11/ca-t,589.0,19225.69,139.0,138.31431655,21837.0,0.8804180977,,,,,2011,iron,Iron deficiency anaemia
1496,ferriprox,deferiprone,,,,,,,,,,,2011,deferiprone,Transfusional iron overload due to thalassaemia syndromes
1497,ferrlecit,sodium ferric gluconat/sucrose,27.0,7300.74,12.0,608.395,1143.0,6.4061723574,,,,,2011,,
1498,ferrocite plus,"iron/fa/vit bcomp,c/minerals",57.0,1069.14,29.0,36.866896552,3070.0,0.3482540717,,,,,2011,iron,Iron deficiency anaemia
1499,ferrogels forte,iron fumarate/vit c/vit b12/fa,438.0,6691.02,123.0,54.398536585,16947.0,0.3948203222,72.0,19.698333333,51.0,1.5074509804,2011,iron,Iron deficiency anaemia
1500,fetrin,ferrous fumarate/vit c/b12-if,16.0,357.04,,,773.0,0.4618887451,,,,,2011,,
1501,fetzima,levomilnacipran hydrochloride,,,,,,,,,,,2011,levomilnacipran,Fibromyalgia
1502,fexmid,cyclobenzaprine hcl,656.0,162537.9,356.0,456.56713483,41817.0,3.8868857163,115.0,90.563652174,241.0,8.874813278,2011,cyclobenzaprine,Depression
1503,fexofenadine hcl,fexofenadine hcl,2305017.0,104350422.04,767423.0,135.97510374,100228320.9,1.0859203518,399840.0,32.923530087,367583.0,5.2090576278,2011,fexofenadine,Allergic rhinitis
1504,fexofenadine-pse er,fexofenadine/pseudoephedrine,100306.0,9456575.4,50076.0,188.84446441,5315041.4,1.8579872102,25199.0,47.731478233,24877.0,4.5080045825,2011,pseudoephedrine,Nasal congestion
1505,fibricor,fenofibric acid,93.0,13787.54,37.0,372.63621622,4682.0,3.033927961,21.0,189.98571429,16.0,79.359375,2011,,
1506,finacea,azelaic acid,39674.0,6692915.34,25225.0,265.3286557,2121356.0,3.1550175171,21375.0,86.219970526,3850.0,8.9460727273,2011,azelaic acid,Acne vulgaris
1507,finacea plus,"azelaic acid/ceramide 1,3,6-11",367.0,60994.49,243.0,251.00613169,975.0,62.558451282,201.0,96.440497512,42.0,7.095952381,2011,azelaic acid,Acne vulgaris
1508,finasteride,finasteride,3392755.0,165214269.6,645474.0,255.95805501,165594406.62,0.997704409,493303.0,58.375047121,152171.0,7.9825042879,2011,finasteride,Benign prostatic hyperplasia
1509,fioricet,butalb/acetaminophen/caffeine,1097.0,211336.64,212.0,996.8709434,116918.0,1.8075629073,,,,,2011,caffeine,Fatigue; Orthostatic hypotension
1510,fioricet with codeine,butalbit/acetamin/caff/codeine,763.0,318058.96,141.0,2255.737305,81693.0,3.8933441054,85.0,382.33858824,56.0,43.116071429,2011,codeine,Cough
1511,fiorinal,butalbital/aspirin/caffeine,214.0,37881.35,57.0,664.58508772,20444.0,1.8529324007,,,,,2011,caffeine,Fatigue; Orthostatic hypotension
1512,fiorinal with codeine #3,codeine/butalbital/asa/caffein,2137.0,803019.94,311.0,2582.0576849,206764.0,3.8837512333,196.0,495.38709184,115.0,70.909652174,2011,codeine,Cough
1513,firazyr,icatibant acetate,53.0,1202070.74,25.0,48082.8296,516.0,2329.5944574,13.0,2125.1307692,12.0,1.35,2011,icatibant,Hereditary angioedema
1514,firmagon,degarelix acetate,758.0,459829.31,229.0,2007.9882533,948.0,456.41119026,120.0,483.03158333,109.0,33.897431193,2011,,
1515,flagyl,metronidazole,658.0,84927.7,572.0,148.475,21047.0,4.1908988139,256.0,60.033242188,316.0,3.8565822785,2011,metronidazole,Amebiasis
1516,flagyl er,metronidazole,424.0,65706.47,364.0,180.51228022,5482.0,11.985857351,182.0,70.321263736,182.0,4.8155494505,2011,metronidazole,Amebiasis
1517,flarex,fluorometholone acetate,4258.0,183300.83,1985.0,92.342987406,23207.0,7.8985146723,1408.0,68.134630682,577.0,9.6572616984,2011,fluorometholone,Inflammatory diseases
1518,flavoxate hcl,flavoxate hcl,31117.0,2721250.0,10016.0,271.69029553,2355188.5,1.1554276866,4951.0,61.45234902,5065.0,4.6917354393,2011,flavoxate,Muscle Relaxant
1519,flebogamma dif,imm glob g (igg)/sorb/iga 0-50,,,,,,,,,,,2011,,
1520,flebogamma dif,immun glob g(igg)/sorb/iga 50+,,,,,,,,,,,2011,,
1521,flecainide acetate,flecainide acetate,411182.0,23679607.97,73689.0,321.34522072,37596966.06,0.6353696965,61615.0,95.586596446,12074.0,13.066268842,2011,flecainide,Tachyarrhythmias
1522,flector,diclofenac epolamine,145934.0,37231733.29,70553.0,527.71297167,6632970.4,5.6131312285,29563.0,105.70999323,40990.0,8.4867209075,2011,diclofenac,Pain
1523,flexbumin,albumin human,65.0,20808.96,,,11770.0,1.7679660153,,,,,2011,human serum albumin,Anemia
1524,flexeril,cyclobenzaprine hcl,985.0,88540.59,670.0,132.15013433,49277.0,1.794043442,311.0,68.800482315,359.0,6.3335376045,2011,cyclobenzaprine,Depression
1525,flextra plus,acetaminophen/phenyltolox/caff,40.0,1558.78,30.0,51.959333333,1909.0,0.8165426925,17.0,38.879411765,13.0,10.501538462,2011,acetaminophen,Pain
1526,flextra-650,acetaminophen/phenyltolx,180.0,4794.52,111.0,43.193873874,8798.0,0.5449556717,58.0,38.843103448,53.0,7.8386792453,2011,acetaminophen,Pain
1527,flextra-ds,acetaminophen/phenyltolx,175.0,2009.89,120.0,16.749083333,9586.0,0.2096693094,70.0,17.769,50.0,4.4522,2011,acetaminophen,Pain
1528,flolan,epoprostenol sodium (glycine),33.0,121127.56,,,2548.0,47.538288854,,,,,2011,glycine,Dietary shortage
1529,flomax,tamsulosin hcl,71349.0,14343178.39,25999.0,551.68192584,3403200.7,4.2146143159,13910.0,189.64385622,12089.0,11.000668376,2011,tamsulosin,Benign prostatic hyperplasia
1530,flonase,fluticasone propionate,12281.0,1075523.27,5859.0,183.56771975,241464.2,4.4541727925,2645.0,94.64378828,3214.0,5.8067143746,2011,fluticasone,Inflammatory diseases
1531,flovent diskus,fluticasone propionate,57330.0,8153678.89,21132.0,385.84511121,4086447.6,1.9943921855,10968.0,117.76837436,10164.0,10.392752853,2011,fluticasone,Inflammatory diseases
1532,flovent hfa,fluticasone propionate,979731.0,188895751.86,295612.0,638.99893056,13491033.458,13.92258758,138254.0,150.54781214,157358.0,14.047779776,2011,fluticasone,Inflammatory diseases
1533,floxin,ofloxacin,22.0,1596.7,19.0,84.036842105,141.0,11.324113475,,,,,2011,ofloxacin,Bacterial infection
1534,fluconazole,fluconazole,1917936.0,16749588.02,1078668.0,15.528029032,13961533.204,1.9491760979,523424.0,7.3691326726,555244.0,2.0307164778,2011,fluconazole,Fungal infection
1535,fluconazole in dextrose,"fluconazole in dextrose,iso-os",253.0,19302.58,98.0,196.96510204,165762.0,0.1292354098,15.0,83.645333333,83.0,1.9477108434,2011,fluconazole,Fungal infection
1536,fluconazole in saline,"fluconazole in nacl,iso-osm",268.0,18347.65,151.0,121.50761589,106460.0,0.1897784304,39.0,43.544358974,112.0,0.5189285714,2011,fluconazole,Fungal infection
1537,fluconazole-nacl,"fluconazole in nacl,iso-osm",2156.0,191433.92,849.0,225.481649,1418813.667,0.1419458363,163.0,72.341779141,686.0,3.5459766764,2011,fluconazole,Fungal infection
1538,flucytosine,flucytosine,,,,,,,,,,,2011,flucytosine,Endocarditis
1539,fludarabine phosphate,fludarabine phosphate,45.0,27132.64,19.0,1428.0336842,158.0,176.84131886,,,,,2011,fludarabine,Hematological malignancies
1540,fludrocortisone acetate,fludrocortisone acetate,396327.0,11817640.55,76603.0,154.27124982,18958165.702,0.6233535847,43688.0,48.404401666,32915.0,6.5128661704,2011,fludrocortisone,Cerebral salt-wasting syndrome
1541,flumazenil,flumazenil,1492.0,31873.56,1382.0,23.063357453,7534.1,4.2305729948,1344.0,3.5682440476,38.0,4.2518421053,2011,,
1542,flunisolide,flunisolide,111096.0,5450753.97,46046.0,118.37627525,3318836.285,1.6421239055,27673.0,22.48268023,18373.0,2.9214336254,2011,flunisolide,Allergic rhinitis
1543,fluocinolone acetonide,fluocinolone acetonide,102698.0,2737248.64,62748.0,43.622882642,7014087.358,0.4149048711,36749.0,10.95028164,25999.0,2.0231897381,2011,fluocinolone acetonide,Inflammatory diseases
1544,fluocinolone acetonide,fluocinolone/shower cap,1173.0,41505.03,1130.0,36.730115044,152671.125,0.2718590696,721.0,19.976699029,409.0,1.3411002445,2011,,
1545,fluocinolone acetonide oil,fluocinolone acetonide oil,1341.0,37220.04,1324.0,28.111812689,27491.0,1.3538990942,927.0,16.027756203,397.0,0.9565994962,2011,fluocinolone acetonide,Inflammatory diseases
1546,fluocinonide,fluocinonide,814359.0,15365247.34,431532.0,35.606275641,49493081.305,0.3109852563,269435.0,10.837399224,162097.0,2.3292003553,2011,fluocinonide,Inflammatory diseases
1547,fluocinonide emollient,fluocinonide/emollient base,8734.0,133845.34,5575.0,24.008132735,516295.0,0.2592419837,3381.0,9.223667554,2194.0,1.8599042844,2011,fluocinonide,Inflammatory diseases
1548,fluocinonide-e,fluocinonide/emollient base,24583.0,466088.49,15091.0,30.885195812,1630729.3,0.2858159782,10337.0,10.799989359,4754.0,2.1181678586,2011,fluocinonide,Inflammatory diseases
1549,fluor-a-day,sodium fluoride,,,,,,,,,,,2011,sodium fluoride,Osteoporosis
1550,fluor-a-day,sodium fluoride/xylitol,,,,,,,,,,,2011,sodium fluoride,Osteoporosis
1551,fluoride,sodium fluoride,93.0,643.66,62.0,10.381612903,7172.0,0.0908100701,38.0,6.565,24.0,1.275,2011,sodium fluoride,Osteoporosis
1552,fluoridex daily defense,sodium fluoride,6275.0,145548.49,3761.0,38.69941239,803153.0,0.1812213738,3459.0,15.752136456,302.0,3.4249337748,2011,sodium fluoride,Osteoporosis
1553,fluoridex defense whitening,sodium fluoride,15.0,204.2,,,1569.0,0.1301465902,,,,,2011,sodium fluoride,Osteoporosis
1554,fluoridex sensitivity relief,sodium fluoride/potassium nit,197.0,3368.2,114.0,29.545614035,24030.0,0.1401664586,101.0,22.437425743,13.0,4.0730769231,2011,sodium fluoride,Osteoporosis
1555,fluoritab,sodium fluoride,18.0,41.27,,,720.0,0.0599814815,,,,,2011,sodium fluoride,Osteoporosis
1556,fluorometholone,fluorometholone,225469.0,2876321.71,119310.0,24.107968402,1630722.797,1.7638324032,76314.0,10.31654205,42996.0,2.2977414178,2011,fluorometholone,Inflammatory diseases
1557,fluor-op,fluorometholone,25.0,538.22,19.0,28.327368421,290.0,1.8559310345,,,,,2011,fluorometholone,Inflammatory diseases
1558,fluoroplex,fluorouracil,3501.0,1007471.56,3029.0,332.60863651,110302.0,9.1337560516,2645.0,74.247969754,384.0,7.4043489583,2011,fluorouracil,Cancers
1559,fluorouracil,fluorouracil,168922.0,36673734.63,140868.0,260.34113234,6883850.647,5.5177422793,121425.0,39.719905456,19443.0,4.0707997737,2011,fluorouracil,Cancers
1560,fluoxetine dr,fluoxetine hcl,8015.0,1036448.58,1316.0,787.57490881,40920.0,25.328655425,495.0,262.68139394,821.0,11.17453106,2011,fluoxetine,Depression
1561,fluoxetine hcl,fluoxetine hcl,5245132.0,76587870.42,891580.0,85.901288073,281863566.43,0.2907696723,463155.0,32.998022325,428425.0,8.0162888254,2011,fluoxetine,Depression
1562,fluphenazine decanoate,fluphenazine decanoate,107890.0,7868175.02,23121.0,340.30426971,574668.552,13.691674954,2054.0,73.584853944,21067.0,6.1067959368,2011,fluphenazine,Psychotic disorders
1563,fluphenazine hcl,fluphenazine hcl,298465.0,5883405.99,38503.0,152.80383321,18505612.092,0.3645011934,4944.0,42.375756472,33559.0,7.9019863524,2011,fluphenazine,Psychotic disorders
1564,flurazepam hcl,flurazepam hcl,22175.0,151680.47,4791.0,31.659459403,749420.0,0.2038063279,4193.0,8.8605843072,598.0,7.902993311,2011,flurazepam,Insomnia
1565,flurbiprofen,flurbiprofen,36801.0,710445.56,13307.0,53.388859998,2447672.0,0.2903120387,9176.0,17.747821491,4131.0,4.7354853546,2011,flurbiprofen,Rheumatold arthritis
1566,flurbiprofen sodium,flurbiprofen sodium,27941.0,297843.1,14832.0,20.081115156,94289.092,3.158828807,9591.0,10.885462413,5241.0,2.5871474909,2011,flurbiprofen,Rheumatold arthritis
1567,flutamide,flutamide,22283.0,3579083.84,4631.0,772.85334485,3494938.5,1.0240763435,3240.0,151.23322222,1391.0,11.392897196,2011,flutamide,Prostate cancer
1568,fluticasone propionate,fluticasone propionate,6241612.0,221532142.83,2472164.0,89.610617592,118994552.77,1.8819513437,1483126.0,20.937664851,989038.0,3.5344831038,2011,fluticasone,Inflammatory diseases
1569,fluvastatin er,fluvastatin sodium,,,,,,,,,,,2011,fluvastatin,Hypercholesterolemia
1570,fluvastatin sodium,fluvastatin sodium,,,,,,,,,,,2011,fluvastatin,Hypercholesterolemia
1571,fluvoxamine maleate,fluvoxamine maleate,262816.0,10355790.51,31669.0,327.00086867,16012790.396,0.6481365363,8015.0,79.315844042,23654.0,8.8097729771,2011,fluvoxamine,Depression
1572,fluvoxamine maleate er,fluvoxamine maleate,,,,,,,,,,,2011,fluvoxamine,Depression
1573,fml,fluorometholone,1981.0,78827.48,1224.0,64.401535948,14636.0,5.3858622574,921.0,48.723061889,303.0,4.7599009901,2011,fluorometholone,Inflammatory diseases
1574,fml forte,fluorometholone,10543.0,343426.33,5930.0,57.91337774,71745.375,4.7867382392,4043.0,43.961313381,1887.0,6.4744515103,2011,fluorometholone,Inflammatory diseases
1575,fml s.o.p.,fluorometholone,33468.0,1395238.81,23194.0,60.155161249,121623.63,11.471774112,16860.0,39.74996382,6334.0,6.0290527313,2011,fluorometholone,Inflammatory diseases
1576,focalin,dexmethylphenidate hcl,577.0,67215.03,188.0,357.52675532,55496.0,1.2024961832,67.0,141.7061194,121.0,10.184710744,2011,dexmethylphenidate hydrochloride,Attention deficit hyperactivity disorder
1577,focalin xr,dexmethylphenidate hcl,6993.0,1567569.69,1501.0,1044.3502265,295441.0,5.3188887323,453.0,312.40203091,1048.0,20.000782443,2011,dexmethylphenidate hydrochloride,Attention deficit hyperactivity disorder
1578,folast,mecobalamin/l-mefolate/b6 phos,851.0,26402.28,319.0,82.765768025,38277.0,0.6897687907,212.0,31.300896226,107.0,1.2885046729,2011,mecobalamin,Anemia
1579,folastin,cyanocobalamin/fa/pyridoxine,,,,,,,,,,,2011,cyanocobalamin,Anemia
